123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,107,125
123,108,125
123,108,125
123,108,125
123,108,125
123,108,125
123,108,125
198,193,181
197,192,180
197,192,180
197,192,180
197,191,180
197,191,180
197,191,180
196,191,179
196,191,179
196,191,179
197,191,179
197,191,179
197,191,179
197,191,180
193,187,176
189,183,173
186,179,170
182,175,167
178,171,163
173,167,159
169,162,156
164,158,152
160,154,148
155,149,144
150,144,140
146,140,137
141,135,133
137,130,130
131,125,125
125,120,120
120,114,116
116,110,113
111,105,109
107,101,106
102,96,102
97,91,97
93,87,93
89,83,91
85,79,87
81,75,84
77,71,81
72,66,77
69,63,74
65,59,71
61,55,68
61,55,67
61,55,67
70,62,74
81,70,81
82,71,82
92,79,88
92,79,88
93,79,88
93,79,88
93,78,88
93,78,88
92,78,87
92,78,87
91,78,87
91,78,87
91,78,87
91,78,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
91,77,87
108,93,102
108,93,102
108,93,102
108,93,102
107,91,101
107,91,101
106,90,101
106,90,101
106,90,101
108,93,102
108,93,102
108,93,102
113,95,105
113,95,105
113,95,105
113,95,105
113,95,105
113,95,105
113,94,105
113,94,105
113,94,105
113,95,105
113,95,105
113,95,104
112,95,104
112,95,104
114,95,105
114,95,105
114,95,105
116,98,107
116,98,107
116,98,107
111,92,102
111,92,102
111,92,102
115,96,105
115,96,105
111,93,104
111,93,104
57,59,70
57,60,70
57,60,70
57,60,70
57,59,70
57,59,70
57,59,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,60,70
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
57,59,69
